E7_sigma_20 — Forecast σ=20%
============================================================
Total cost            :     295,571.40
  Holding             :      87,282.59  (29.5%)
  Transport           :     138,864.00  (47.0%)
  Ordering            :      38,832.06  (13.1%)
  Shortage            :      30,592.75  (10.4%)
Fill rate             :         93.19%

Fill rate by SKU:
  SKU_A           91.91%
  SKU_B           99.55%
  SKU_C           98.72%
  SKU_D           80.17%
  SKU_E           96.20%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
