node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,295680,295680,1.0
R1,SKU_B,149389,148327,0.992891042847867
R1,SKU_C,188593,186300,0.9878415423690169
R1,SKU_D,138388,137722,0.9951874439980345
R1,SKU_E,106855,106796,0.9994478498900379
R2,SKU_A,195525,176946,0.9049789029535865
R2,SKU_B,105823,80926,0.7647297846403901
R2,SKU_C,104873,104180,0.9933920074757087
R2,SKU_D,88288,86717,0.9822059623051831
R2,SKU_E,101694,64857,0.6377662398961591
R3,SKU_A,429037,428947,0.9997902278824438
R3,SKU_B,140960,133074,0.9440550510783201
R3,SKU_C,238006,216812,0.910951824743914
R3,SKU_D,233138,225262,0.9662174334514322
R3,SKU_E,153607,153607,1.0
