E8_lambda_1e+05 — Bullwhip-aware (λ=1e+05)
============================================================
Total cost            :     287,110.72
  Holding             :      92,635.82  (32.3%)
  Transport           :     142,820.00  (49.7%)
  Ordering            :      38,832.06  (13.5%)
  Shortage            :      12,822.85  (4.5%)
Fill rate             :         97.13%

Fill rate by SKU:
  SKU_A           100.00%
  SKU_B           97.51%
  SKU_C           93.29%
  SKU_D           95.93%
  SKU_E           97.12%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
