t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,SKU_A,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
0,Supplier,SKU_B,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
0,W1,SKU_A,1736.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,34.72,0.0,0.0,0.0,34.72
0,W1,SKU_B,1736.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,34.72,0.0,0.0,0.0,34.72
0,W2,SKU_A,1849.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,36.980000000000004,0.0,0.0,0.0,36.980000000000004
0,W2,SKU_B,1849.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,36.980000000000004,0.0,0.0,0.0,36.980000000000004
0,R1,SKU_A,433.0,0.0,0.0,0.0,155.0,0.0,EOD,155,155.0,12.99,0.0,0.0,0.0,12.99
0,R1,SKU_B,433.0,0.0,0.0,0.0,155.0,0.0,EOD,155,155.0,12.99,0.0,0.0,0.0,12.99
0,R2,SKU_A,394.0,0.0,0.0,0.0,87.0,0.0,EOD,87,87.0,11.82,0.0,0.0,0.0,11.82
0,R2,SKU_B,394.0,0.0,0.0,0.0,87.0,0.0,EOD,87,87.0,11.82,0.0,0.0,0.0,11.82
0,R3,SKU_A,1083.0,0.0,0.0,0.0,274.0,0.0,EOD,274,274.0,32.49,0.0,0.0,0.0,32.49
0,R3,SKU_B,1083.0,0.0,0.0,0.0,274.0,0.0,EOD,274,274.0,32.49,0.0,0.0,0.0,32.49
1,Supplier,SKU_A,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Supplier,SKU_B,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1,SKU_A,1494.0,0.0,0.0,0.0,242.0,0.0,EOD,0,0.0,29.88,0.0,17.42,0.0,47.3
1,W1,SKU_B,1494.0,0.0,0.0,0.0,242.0,0.0,EOD,0,0.0,29.88,0.0,17.42,0.0,47.3
1,W2,SKU_A,1575.0,0.0,0.0,0.0,274.0,0.0,EOD,0,0.0,31.5,0.0,17.740000000000002,0.0,49.24
