node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,295680,281763,0.952932224025974
R1,SKU_B,149389,139739,0.9354035437682828
R1,SKU_C,188593,174264,0.9240215702597657
R1,SKU_D,138388,129087,0.9327904153539324
R1,SKU_E,106855,101462,0.9495297365588882
R2,SKU_A,195525,169397,0.8663700294080041
R2,SKU_B,105823,81193,0.7672528656341249
R2,SKU_C,104873,80762,0.7700933510055019
R2,SKU_D,88288,74704,0.8461399057629576
R2,SKU_E,101694,82468,0.8109426318170196
R3,SKU_A,429037,361036,0.8415031803783822
R3,SKU_B,140960,109533,0.777050227014756
R3,SKU_C,238006,198746,0.8350461753065048
R3,SKU_D,233138,173201,0.7429119234101691
R3,SKU_E,153607,142639,0.9285970040427846
