node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,0.077951,1.1774
R1,SKU_B,0.132948,0.132948,1.0
R1,SKU_C,0.14054,0.14054,1.0
R1,SKU_D,0.077954,0.077954,1.0
R1,SKU_E,0.08107,4.715248,58.1628
R2,SKU_A,0.04691,0.367595,7.8361
R2,SKU_B,0.106405,0.106405,1.0
R2,SKU_C,0.135223,0.135223,1.0
R2,SKU_D,0.062566,0.062566,1.0
R2,SKU_E,0.057893,5.893466,101.7998
R3,SKU_A,0.063665,4.627776,72.6894
R3,SKU_B,0.092004,0.610716,6.638
R3,SKU_C,0.146445,0.146445,1.0
R3,SKU_D,0.068073,1.211626,17.7989
R3,SKU_E,0.050516,0.050516,1.0
Supplier,SKU_A,0.860719,,
Supplier,SKU_B,0.126036,,
Supplier,SKU_C,0.116653,,
Supplier,SKU_D,0.281961,,
Supplier,SKU_E,0.688352,,
W1,SKU_A,0.092749,0.113249,1.221
W1,SKU_B,0.102324,0.083899,0.8199
W1,SKU_C,0.12104,0.12104,1.0
W1,SKU_D,0.054296,0.054296,1.0
W1,SKU_E,2.167335,2.411571,1.1127
W2,SKU_A,4.627776,4.566808,0.9868
W2,SKU_B,0.610716,0.610716,1.0
W2,SKU_C,0.146445,0.144818,0.9889
W2,SKU_D,1.211626,1.211626,1.0
W2,SKU_E,0.050516,0.050516,1.0
