node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,5.351513,80.832
R1,SKU_B,0.132948,0.827422,6.2236
R1,SKU_C,0.14054,3.458949,24.6119
R1,SKU_D,0.077954,5.598801,71.8215
R1,SKU_E,0.08107,1.23233,15.2008
R2,SKU_A,0.04691,4.040336,86.129
R2,SKU_B,0.106405,2.729152,25.6487
R2,SKU_C,0.135223,5.742113,42.464
R2,SKU_D,0.062566,3.440998,54.9982
R2,SKU_E,0.057893,2.236623,38.6339
R3,SKU_A,0.063665,3.026946,47.5448
R3,SKU_B,0.092004,0.993841,10.8022
R3,SKU_C,0.146445,2.215004,15.1252
R3,SKU_D,0.068073,12.447954,182.8617
R3,SKU_E,0.050516,7.204942,142.6256
Supplier,SKU_A,4.26472,,
Supplier,SKU_B,2.031582,,
Supplier,SKU_C,4.115393,,
Supplier,SKU_D,5.772057,,
Supplier,SKU_E,2.986202,,
W1,SKU_A,2.755352,8.580585,3.1142
W1,SKU_B,0.819226,1.762434,2.1513
W1,SKU_C,2.20784,4.600738,2.0838
W1,SKU_D,2.768342,12.507548,4.5181
W1,SKU_E,0.902703,4.768032,5.2819
W2,SKU_A,3.026946,7.025176,2.3209
W2,SKU_B,0.993841,11.020106,11.0884
W2,SKU_C,2.215004,16.724947,7.5508
W2,SKU_D,12.447954,12.447954,1.0
W2,SKU_E,7.204942,7.410166,1.0285
