node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,46432,0.9034517647974472
R1,SKU_B,23800,23800,1.0
R1,SKU_C,37760,37697,0.9983315677966101
R1,SKU_D,22301,22301,1.0
R1,SKU_E,15853,15853,1.0
R2,SKU_A,34230,33782,0.9869120654396728
R2,SKU_B,19561,19377,0.9905935279382445
R2,SKU_C,18587,11444,0.6156991445634046
R2,SKU_D,16542,16542,1.0
R2,SKU_E,16529,16529,1.0
R3,SKU_A,66596,65875,0.9891735239353715
R3,SKU_B,21533,21533,1.0
R3,SKU_C,41348,41136,0.9948727870755538
R3,SKU_D,33476,33019,0.9863484287250568
R3,SKU_E,28210,27860,0.9875930521091811
