node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,35073,0.6824337471300151
R1,SKU_B,23800,17204,0.7228571428571429
R1,SKU_C,37760,27385,0.7252383474576272
R1,SKU_D,22301,15141,0.678938164207883
R1,SKU_E,15853,10727,0.6766542610231502
R2,SKU_A,34230,23954,0.6997955010224949
R2,SKU_B,19561,14344,0.7332958437707684
R2,SKU_C,18587,13488,0.7256684779684726
R2,SKU_D,16542,9363,0.5660137830975698
R2,SKU_E,16529,11013,0.6662835017242422
R3,SKU_A,66596,64789,0.9728662382125053
R3,SKU_B,21533,21533,1.0
R3,SKU_C,41348,41348,1.0
R3,SKU_D,33476,32910,0.9830923646791732
R3,SKU_E,28210,28210,1.0
