t_ship,from_node,to_node,lead_time,qty,arrival_time
1,W2,R3,4,274.0,5
2,Supplier,W2,6,274.0,8
2,W1,R1,2,276.0,4
2,W2,R3,4,268.0,6
3,Supplier,W2,6,268.0,9
3,Supplier,W1,5,453.0,8
3,W1,R2,3,253.0,6
4,W2,R3,4,341.0,8
5,Supplier,W2,6,341.0,11
5,Supplier,W1,5,363.0,10
5,W1,R1,2,296.0,7
6,W1,R2,3,262.0,9
6,W2,R3,4,365.0,10
7,Supplier,W2,6,365.0,13
7,Supplier,W1,5,384.0,12
8,W1,R1,2,399.0,10
8,W2,R3,4,503.0,12
9,Supplier,W2,6,503.0,15
9,Supplier,W1,5,526.0,14
9,W1,R2,3,336.0,12
9,W2,R3,4,276.0,13
10,Supplier,W2,6,276.0,16
10,Supplier,W1,5,261.0,15
10,W1,R1,2,260.0,12
11,W2,R3,4,408.0,15
12,Supplier,W2,6,408.0,18
12,Supplier,W1,5,410.0,17
12,W1,R2,3,317.0,15
13,W1,R1,2,322.0,15
13,W2,R3,4,343.0,17
14,Supplier,W2,6,343.0,20
14,Supplier,W1,5,417.0,19
14,W2,R3,4,251.0,18
15,Supplier,W2,6,251.0,21
15,Supplier,W1,5,278.0,20
15,W1,R1,2,384.0,17
15,W1,R2,3,353.0,18
15,W2,R3,4,347.0,19
16,Supplier,W2,6,347.0,22
16,Supplier,W1,5,366.0,21
16,W2,R3,4,332.0,20
17,Supplier,W2,6,332.0,23
17,Supplier,W1,5,381.0,22
17,W1,R1,2,368.0,19
18,W1,R2,3,307.0,21
18,W2,R3,4,463.0,22
19,Supplier,W2,6,463.0,25
19,Supplier,W1,5,451.0,24
19,W1,R1,2,259.0,21
20,W2,R3,4,369.0,24
21,Supplier,W2,6,369.0,27
21,Supplier,W1,5,415.0,26
21,W1,R1,2,289.0,23
21,W1,R2,3,265.0,24
22,W2,R3,4,552.0,26
23,Supplier,W2,6,552.0,29
23,Supplier,W1,5,545.0,28
23,W1,R1,2,388.0,25
23,W2,R3,4,272.0,27
24,Supplier,W2,6,272.0,30
24,Supplier,W1,5,292.0,29
24,W1,R2,3,297.0,27
25,W1,R1,2,256.0,27
25,W2,R3,4,384.0,29
26,Supplier,W2,6,384.0,32
26,Supplier,W1,5,428.0,31
27,W2,R3,4,395.0,31
28,Supplier,W2,6,395.0,34
28,Supplier,W1,5,383.0,33
28,W1,R1,2,402.0,30
28,W1,R2,3,319.0,31
29,Supplier,W1,5,255.0,34
29,W2,R3,4,538.0,33
30,Supplier,W2,6,538.0,36
30,Supplier,W1,5,263.0,35
30,W1,R1,2,359.0,32
30,W2,R3,4,297.0,34
31,Supplier,W2,6,297.0,37
31,Supplier,W1,5,271.0,36
32,W1,R2,3,328.0,35
32,W2,R3,4,410.0,36
33,Supplier,W2,6,410.0,39
33,Supplier,W1,5,395.0,38
33,W1,R1,2,369.0,35
34,W2,R3,4,411.0,38
35,Supplier,W2,6,411.0,41
35,Supplier,W1,5,459.0,40
35,W1,R1,2,315.0,37
35,W1,R2,3,275.0,38
36,Supplier,W2,6,250.0,42
36,Supplier,W1,5,258.0,41
36,W2,R3,4,550.0,40
37,Supplier,W2,6,300.0,43
37,Supplier,W1,5,318.0,42
37,W1,R1,2,359.0,39
37,W1,R2,3,263.0,40
37,W2,R3,4,313.0,41
38,Supplier,W2,6,313.0,44
38,Supplier,W1,5,304.0,43
39,W2,R3,4,431.0,43
40,Supplier,W2,6,431.0,46
40,Supplier,W1,5,410.0,45
40,W1,R1,2,353.0,42
40,W1,R2,3,277.0,43
41,W2,R3,4,422.0,45
42,Supplier,W2,6,422.0,48
42,Supplier,W1,5,434.0,47
42,W1,R1,2,274.0,44
43,W1,R2,3,273.0,46
43,W2,R3,4,579.0,47
44,Supplier,W2,6,579.0,50
44,Supplier,W1,5,513.0,49
44,W1,R1,2,356.0,46
44,W2,R3,4,296.0,48
45,Supplier,W2,6,296.0,51
45,Supplier,W1,5,260.0,50
46,W1,R2,3,255.0,49
46,W2,R3,4,457.0,50
47,Supplier,W2,6,457.0,53
47,Supplier,W1,5,406.0,52
47,W1,R1,2,354.0,49
48,W2,R3,4,438.0,52
49,Supplier,W2,6,438.0,55
49,Supplier,W1,5,417.0,54
49,W1,R1,2,255.0,51
50,W1,R2,3,329.0,53
50,W2,R3,4,521.0,54
51,Supplier,W2,6,521.0,57
51,Supplier,W1,5,452.0,56
51,W1,R1,2,364.0,53
51,W2,R3,4,344.0,55
52,Supplier,W2,6,344.0,58
52,Supplier,W1,5,296.0,57
53,W1,R1,2,256.0,55
53,W2,R3,4,421.0,57
54,Supplier,W2,6,421.0,60
54,Supplier,W1,5,402.0,59
54,W1,R2,3,304.0,57
55,W2,R3,4,432.0,59
56,Supplier,W2,6,432.0,62
56,Supplier,W1,5,347.0,61
56,W1,R1,2,357.0,58
57,W2,R3,4,489.0,61
58,Supplier,W2,6,489.0,64
58,Supplier,W1,5,475.0,63
58,W1,R1,2,380.0,60
58,W1,R2,3,303.0,61
58,W2,R3,4,271.0,62
59,Supplier,W2,6,271.0,65
59,Supplier,W1,5,278.0,64
60,W2,R3,4,353.0,64
61,Supplier,W2,6,353.0,67
61,Supplier,W1,5,375.0,66
61,W1,R1,2,326.0,63
62,W1,R2,3,323.0,65
62,W2,R3,4,404.0,66
63,Supplier,W2,6,404.0,69
63,Supplier,W1,5,432.0,68
63,W1,R1,2,342.0,65
63,W2,R3,4,262.0,67
64,Supplier,W2,6,262.0,70
64,Supplier,W1,5,291.0,69
64,W2,R3,4,312.0,68
65,Supplier,W2,6,312.0,71
65,Supplier,W1,5,316.0,70
65,W1,R1,2,415.0,67
65,W1,R2,3,330.0,68
65,W2,R3,4,283.0,69
66,Supplier,W2,6,283.0,72
66,Supplier,W1,5,340.0,71
67,Supplier,W1,5,288.0,72
67,W1,R1,2,283.0,69
67,W2,R3,4,390.0,71
68,Supplier,W2,6,390.0,74
68,W1,R2,3,313.0,71
69,Supplier,W1,5,406.0,74
69,W1,R1,2,253.0,71
69,W2,R3,4,396.0,73
70,Supplier,W2,6,396.0,76
71,Supplier,W1,5,422.0,76
71,W1,R1,2,374.0,73
71,W2,R3,4,527.0,75
72,Supplier,W2,6,527.0,78
72,Supplier,W1,5,320.0,77
72,W1,R2,3,349.0,75
72,W2,R3,4,333.0,76
73,Supplier,W2,6,333.0,79
73,Supplier,W1,5,332.0,78
73,W1,R1,2,341.0,75
74,W2,R3,4,457.0,78
75,Supplier,W2,6,457.0,81
75,Supplier,W1,5,461.0,80
75,W1,R1,2,262.0,77
