node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,47328,0.9208857065027046
R1,SKU_B,23800,21539,0.905
R1,SKU_C,37760,33692,0.8922669491525423
R1,SKU_D,22301,20631,0.925115465674185
R1,SKU_E,15853,14833,0.9356588658298114
R2,SKU_A,34230,29253,0.854601226993865
R2,SKU_B,19561,14852,0.7592658862021369
R2,SKU_C,18587,15172,0.8162694356270511
R2,SKU_D,16542,14903,0.9009188731713215
R2,SKU_E,16529,14248,0.8620001209994556
R3,SKU_A,66596,59802,0.8979818607724188
R3,SKU_B,21533,17805,0.8268703849904797
R3,SKU_C,41348,33781,0.8169923575505466
R3,SKU_D,33476,31819,0.950501852073127
R3,SKU_E,28210,27366,0.9700815313718539
