node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,50909,0.9905631007510605
R1,SKU_B,23800,23106,0.9708403361344538
R1,SKU_C,37760,13793,0.36528072033898307
R1,SKU_D,22301,22301,1.0
R1,SKU_E,15853,15853,1.0
R2,SKU_A,34230,34063,0.9951212386795208
R2,SKU_B,19561,16833,0.8605388272583201
R2,SKU_C,18587,17595,0.9466293646096734
R2,SKU_D,16542,16052,0.9703784306613469
R2,SKU_E,16529,16358,0.9896545465545405
R3,SKU_A,66596,66596,1.0
R3,SKU_B,21533,12831,0.5958760971532067
R3,SKU_C,41348,33257,0.8043194350391797
R3,SKU_D,33476,33476,1.0
R3,SKU_E,28210,23123,0.8196738745125842
