t_ship,from_node,to_node,lead_time,qty,arrival_time
2,Supplier,W1,5,200.0,7
2,Supplier,W2,6,274.0,8
2,W2,R3,4,542.0,6
3,Supplier,W1,5,253.0,8
3,Supplier,W2,6,268.0,9
4,Supplier,W1,5,175.0,9
4,Supplier,W2,6,153.0,10
5,Supplier,W1,5,188.0,10
5,Supplier,W2,6,188.0,11
5,W1,R1,2,572.0,7
6,Supplier,W1,5,165.0,11
6,Supplier,W2,6,154.0,12
6,W1,R2,3,515.0,9
6,W2,R3,4,706.0,10
7,Supplier,W1,5,200.0,12
7,Supplier,W2,6,200.0,13
8,Supplier,W1,5,200.0,13
8,Supplier,W2,6,200.0,14
8,W2,R3,4,503.0,12
9,Supplier,W1,5,345.0,14
9,Supplier,W2,6,314.0,15
9,W1,R1,2,564.0,11
10,Supplier,W1,5,261.0,15
10,Supplier,W2,6,276.0,16
10,W2,R3,4,500.0,14
11,Supplier,W1,5,200.0,16
11,Supplier,W2,6,200.0,17
11,W1,R2,3,555.0,14
12,Supplier,W1,5,200.0,17
12,Supplier,W2,6,200.0,18
13,Supplier,W1,5,200.0,18
13,Supplier,W2,6,194.0,19
13,W2,R3,4,527.0,17
14,Supplier,W1,5,200.0,19
14,Supplier,W2,6,157.0,20
14,W1,R1,2,577.0,16
15,Supplier,W1,5,305.0,20
15,Supplier,W2,6,251.0,21
15,W2,R3,4,598.0,19
16,Supplier,W1,5,366.0,21
16,Supplier,W2,6,347.0,22
16,W1,R2,3,606.0,19
17,Supplier,W1,5,381.0,22
17,Supplier,W2,6,332.0,23
17,W1,R1,2,592.0,19
17,W2,R3,4,549.0,21
18,Supplier,W1,5,200.0,23
18,Supplier,W2,6,200.0,24
19,Supplier,W1,5,251.0,24
19,Supplier,W2,6,263.0,25
20,Supplier,W1,5,200.0,25
20,Supplier,W2,6,182.0,26
20,W2,R3,4,615.0,24
21,Supplier,W1,5,200.0,26
21,Supplier,W2,6,187.0,27
21,W1,R1,2,548.0,23
22,Supplier,W1,5,256.0,27
22,Supplier,W2,6,200.0,28
22,W1,R2,3,517.0,25
22,W2,R3,4,552.0,26
23,Supplier,W1,5,304.0,28
23,Supplier,W2,6,352.0,29
24,Supplier,W1,5,292.0,29
24,Supplier,W2,6,272.0,30
24,W1,R1,2,505.0,26
25,Supplier,W1,5,200.0,30
25,Supplier,W2,6,172.0,31
25,W2,R3,4,656.0,29
26,Supplier,W1,5,200.0,31
26,Supplier,W2,6,200.0,32
27,Supplier,W1,5,200.0,32
27,Supplier,W2,6,200.0,33
28,Supplier,W1,5,200.0,33
28,Supplier,W2,6,200.0,34
28,W1,R2,3,516.0,31
28,W1,R1,2,541.0,30
28,W2,R3,4,628.0,32
29,Supplier,W1,5,266.0,34
29,Supplier,W2,6,200.0,35
30,Supplier,W1,5,263.0,35
30,Supplier,W2,6,345.0,36
30,W2,R3,4,602.0,34
31,Supplier,W1,5,271.0,36
31,Supplier,W2,6,297.0,37
32,Supplier,W1,5,189.0,37
32,Supplier,W2,6,168.0,38
32,W1,R1,2,601.0,34
33,Supplier,W1,5,200.0,38
33,Supplier,W2,6,200.0,39
33,W2,R3,4,618.0,37
34,Supplier,W1,5,200.0,39
34,Supplier,W2,6,250.0,40
34,W1,R2,3,511.0,37
35,Supplier,W1,5,265.0,40
35,Supplier,W2,6,200.0,41
36,Supplier,W1,5,258.0,41
36,Supplier,W2,6,253.0,42
36,W1,R1,2,622.0,38
36,W2,R3,4,753.0,40
37,Supplier,W1,5,318.0,42
37,Supplier,W2,6,300.0,43
38,Supplier,W1,5,304.0,43
38,Supplier,W2,6,313.0,44
38,W2,R3,4,538.0,42
39,Supplier,W1,5,185.0,44
39,Supplier,W2,6,200.0,45
39,W1,R2,3,548.0,42
40,Supplier,W1,5,200.0,45
40,Supplier,W2,6,200.0,46
40,W1,R1,2,532.0,42
41,Supplier,W1,5,200.0,46
41,Supplier,W2,6,200.0,47
41,W2,R3,4,628.0,45
42,Supplier,W1,5,259.0,47
42,Supplier,W2,6,253.0,48
43,Supplier,W1,5,200.0,48
43,Supplier,W2,6,200.0,49
43,W2,R3,4,579.0,47
44,Supplier,W1,5,313.0,49
44,Supplier,W2,6,379.0,50
44,W1,R1,2,630.0,46
45,Supplier,W1,5,260.0,50
45,Supplier,W2,6,296.0,51
45,W1,R2,3,535.0,48
46,Supplier,W1,5,200.0,51
46,Supplier,W2,6,200.0,52
46,W2,R3,4,753.0,50
47,Supplier,W1,5,200.0,52
47,Supplier,W2,6,257.0,53
48,Supplier,W1,5,192.0,53
48,Supplier,W2,6,200.0,54
49,Supplier,W1,5,200.0,54
49,Supplier,W2,6,200.0,55
49,W1,R1,2,609.0,51
49,W2,R3,4,666.0,53
50,Supplier,W1,5,200.0,55
50,Supplier,W2,6,266.0,56
51,Supplier,W1,5,283.0,56
51,Supplier,W2,6,293.0,57
51,W1,R2,3,504.0,54
51,W2,R3,4,637.0,55
52,Supplier,W1,5,296.0,57
52,Supplier,W2,6,344.0,58
52,W1,R1,2,506.0,54
53,Supplier,W1,5,200.0,58
53,Supplier,W2,6,200.0,59
54,Supplier,W1,5,200.0,59
54,Supplier,W2,6,200.0,60
54,W2,R3,4,645.0,58
55,Supplier,W1,5,172.0,60
55,Supplier,W2,6,200.0,61
56,Supplier,W1,5,177.0,61
56,Supplier,W2,6,253.0,62
57,Supplier,W1,5,200.0,62
57,Supplier,W2,6,200.0,63
57,W1,R1,2,656.0,59
57,W2,R3,4,697.0,61
58,Supplier,W1,5,275.0,63
58,Supplier,W2,6,289.0,64
58,W1,R2,3,509.0,61
59,Supplier,W1,5,278.0,64
59,Supplier,W2,6,271.0,65
60,Supplier,W1,5,188.0,65
60,Supplier,W2,6,183.0,66
60,W2,R3,4,624.0,64
61,Supplier,W1,5,187.0,66
61,Supplier,W2,6,170.0,67
61,W1,R1,2,521.0,63
62,Supplier,W1,5,192.0,67
62,Supplier,W2,6,175.0,68
63,Supplier,W1,5,200.0,68
63,Supplier,W2,6,200.0,69
63,W2,R3,4,666.0,67
64,Supplier,W1,5,331.0,69
64,Supplier,W2,6,291.0,70
64,W1,R2,3,551.0,67
64,W1,R1,2,537.0,66
65,Supplier,W1,5,316.0,70
65,Supplier,W2,6,312.0,71
65,W2,R3,4,595.0,69
66,Supplier,W1,5,340.0,71
66,Supplier,W2,6,283.0,72
67,Supplier,W1,5,288.0,72
67,Supplier,W2,6,185.0,73
67,W1,R1,2,503.0,69
68,Supplier,W1,5,200.0,73
68,Supplier,W2,6,200.0,74
68,W2,R3,4,614.0,72
69,Supplier,W1,5,200.0,74
69,Supplier,W2,6,200.0,75
70,Supplier,W1,5,200.0,75
70,Supplier,W2,6,200.0,76
70,W1,R2,3,545.0,73
71,Supplier,W1,5,200.0,76
71,Supplier,W2,6,200.0,77
71,W1,R1,2,627.0,73
71,W2,R3,4,699.0,75
72,Supplier,W1,5,348.0,77
72,Supplier,W2,6,328.0,78
73,Supplier,W1,5,332.0,78
73,Supplier,W2,6,333.0,79
73,W2,R3,4,579.0,77
74,Supplier,W1,5,200.0,79
74,Supplier,W2,6,200.0,80
75,Supplier,W1,5,261.0,80
75,Supplier,W2,6,257.0,81
75,W1,R1,2,603.0,77
76,Supplier,W1,5,188.0,81
76,Supplier,W2,6,200.0,82
76,W1,R2,3,544.0,79
76,W2,R3,4,653.0,80
77,Supplier,W1,5,200.0,82
77,Supplier,W2,6,200.0,83
