node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,3.816226,57.6422
R1,SKU_B,0.132948,1.914839,14.4029
R1,SKU_C,0.14054,1.865111,13.271
R1,SKU_D,0.077954,3.823807,49.0519
R1,SKU_E,0.08107,1.169237,14.4226
R2,SKU_A,0.04691,6.644485,141.6424
R2,SKU_B,0.106405,4.190898,39.3862
R2,SKU_C,0.135223,4.712836,34.8523
R2,SKU_D,0.062566,2.641831,42.225
R2,SKU_E,0.057893,9.189235,158.7288
R3,SKU_A,0.063665,7.626627,119.7929
R3,SKU_B,0.092004,2.037717,22.1482
R3,SKU_C,0.146445,7.624733,52.0655
R3,SKU_D,0.068073,7.013276,103.0257
R3,SKU_E,0.050516,3.753528,74.3031
Supplier,SKU_A,3.72177,,
Supplier,SKU_B,6.224866,,
Supplier,SKU_C,3.417884,,
Supplier,SKU_D,3.59648,,
Supplier,SKU_E,5.581693,,
W1,SKU_A,2.27506,2.307356,1.0142
W1,SKU_B,1.410747,8.650081,6.1316
W1,SKU_C,1.51585,1.498069,0.9883
W1,SKU_D,1.731288,1.731288,1.0
W1,SKU_E,2.615208,9.246457,3.5356
W2,SKU_A,7.626627,14.841824,1.9461
W2,SKU_B,2.037717,18.816013,9.2339
W2,SKU_C,7.624733,15.806951,2.0731
W2,SKU_D,7.013276,15.012427,2.1406
W2,SKU_E,3.753528,13.020743,3.4689
