,date,item_id,normal_price,price,quantity,store_id
0,2023-08-01,bc2f82a22e11,189.0,100.0,8.0,1
1,2023-08-01,389412076801,179.0,100.0,5.0,1
2,2023-08-01,0e39cf5d57c1,149.0,100.0,5.0,1
3,2023-08-01,dd94e2bc5601,149.0,100.0,1.0,1
4,2023-08-01,e60d890f2812,369.0,270.0,1.0,1
5,2023-08-01,fb45888e228e,589.0,350.0,1.0,1
6,2023-08-02,0e39cf5d57c1,149.0,100.0,3.0,1
7,2023-08-02,fb45888e228e,589.0,350.0,6.0,1
8,2023-08-03,bc2f82a22e11,189.0,100.0,1.0,1
9,2023-08-03,389412076801,179.0,100.0,1.0,1
10,2023-08-03,0e39cf5d57c1,149.0,100.0,6.0,1
11,2023-08-03,dd94e2bc5601,149.0,100.0,1.0,1
12,2023-08-03,3a95d538a917,229.0,120.0,5.0,1
13,2023-08-03,e60d890f2812,369.0,270.0,1.0,1
14,2023-08-03,a9d8c085adc0,549.0,300.0,1.0,1
15,2023-08-03,fb45888e228e,589.0,350.0,4.0,1
16,2023-08-03,74d6ed799e21,529.0,370.0,2.0,1
17,2023-08-03,f049b16ba53a,719.0,370.0,2.0,1
18,2023-08-04,0e39cf5d57c1,149.0,100.0,4.0,1
19,2023-08-04,dd94e2bc5601,149.0,100.0,4.0,1
20,2023-08-04,a9d8c085adc0,549.0,300.0,9.0,1
21,2023-08-04,17abde81f33d,469.0,320.0,1.0,1
22,2023-08-04,fb45888e228e,589.0,350.0,5.0,1
23,2023-08-04,4849cb059ba3,559.0,370.0,6.0,1
24,2023-08-04,f049b16ba53a,719.0,370.0,1.0,1
25,2023-08-04,76c18abd8f7c,529.0,380.0,4.0,1
26,2023-08-05,95879f411e24,189.0,100.0,2.0,1
27,2023-08-05,389412076801,179.0,100.0,2.0,1
28,2023-08-05,0e39cf5d57c1,149.0,100.0,4.0,1
29,2023-08-05,3a95d538a917,229.0,120.0,3.0,1
30,2023-08-05,44c942fe217c,529.0,220.0,8.0,1
31,2023-08-05,a9d8c085adc0,549.0,300.0,3.0,1
32,2023-08-05,4849cb059ba3,559.0,370.0,5.0,1
33,2023-08-05,74d6ed799e21,529.0,370.0,2.0,1
34,2023-08-05,f049b16ba53a,719.0,370.0,2.0,1
35,2023-08-05,76c18abd8f7c,529.0,380.0,2.0,1
36,2023-08-06,95879f411e24,189.0,100.0,1.0,1
37,2023-08-06,0e39cf5d57c1,149.0,100.0,3.0,1
38,2023-08-06,dd94e2bc5601,149.0,100.0,5.0,1
39,2023-08-06,3a95d538a917,229.0,120.0,1.0,1
40,2023-08-06,44c942fe217c,529.0,220.0,2.0,1
41,2023-08-06,f611e25fa53a,559.0,270.0,3.0,1
42,2023-08-06,e60d890f2812,369.0,270.0,1.0,1
43,2023-08-06,a9d8c085adc0,549.0,300.0,1.0,1
44,2023-08-06,fb45888e228e,589.0,350.0,5.0,1
45,2023-08-06,4849cb059ba3,559.0,370.0,2.0,1
46,2023-08-06,74d6ed799e21,529.0,370.0,1.0,1
47,2023-08-06,f049b16ba53a,719.0,370.0,1.0,1
48,2023-08-06,76c18abd8f7c,529.0,380.0,1.0,1
49,2023-08-07,d63b63612407,159.0,100.0,5.0,1
50,2023-08-07,389412076801,179.0,100.0,7.0,1
51,2023-08-07,f0c2857afa61,199.0,100.0,4.0,1
52,2023-08-07,e7ff6ea67040,209.0,120.0,14.0,1
53,2023-08-07,fb45888e228e,589.0,350.0,1.0,1
54,2023-08-07,74d6ed799e21,529.0,370.0,1.0,1
55,2023-08-07,76c18abd8f7c,529.0,380.0,2.0,1
56,2023-08-08,d63b63612407,159.0,100.0,4.0,1
57,2023-08-08,bc2f82a22e11,189.0,100.0,5.0,1
58,2023-08-08,389412076801,179.0,100.0,11.0,1
59,2023-08-08,f0c2857afa61,199.0,100.0,3.0,1
60,2023-08-08,dd94e2bc5601,149.0,100.0,13.0,1
61,2023-08-08,e7ff6ea67040,209.0,120.0,18.0,1
62,2023-08-08,f611e25fa53a,559.0,270.0,1.0,1
63,2023-08-09,bc2f82a22e11,189.0,100.0,3.0,1
64,2023-08-09,dd94e2bc5601,149.0,100.0,4.0,1
65,2023-08-09,e7ff6ea67040,209.0,120.0,16.0,1
66,2023-08-09,74d6ed799e21,529.0,370.0,1.0,1
67,2023-08-10,d63b63612407,159.0,100.0,2.0,1
68,2023-08-10,bc2f82a22e11,189.0,100.0,2.0,1
69,2023-08-10,dd94e2bc5601,159.0,100.0,3.0,1
70,2023-08-10,e7ff6ea67040,219.0,120.0,2.0,1
71,2023-08-10,e60d890f2812,379.0,270.0,1.0,1
72,2023-08-12,e7ff6ea67040,219.0,120.0,2.0,1
73,2023-08-19,95879f411e24,189.0,100.0,2.0,1
74,2023-08-19,f0c2857afa61,199.0,100.0,1.0,1
75,2023-08-19,0e39cf5d57c1,149.0,100.0,7.0,1
76,2023-08-19,e7ff6ea67040,219.0,120.0,3.0,1
77,2023-08-19,44c942fe217c,529.0,220.0,1.0,1
78,2023-08-19,e60d890f2812,379.0,270.0,1.0,1
79,2023-08-19,a9d8c085adc0,549.0,300.0,1.0,1
80,2023-08-19,fb45888e228e,599.0,350.0,4.0,1
81,2023-08-19,4849cb059ba3,569.0,370.0,4.0,1
82,2023-08-19,f049b16ba53a,729.0,370.0,1.0,1
83,2023-08-19,76c18abd8f7c,539.0,380.0,2.0,1
84,2023-08-20,389412076801,179.0,100.0,8.0,1
85,2023-08-20,f0c2857afa61,199.0,100.0,2.0,1
