,item_id,date,store_id
0,c578da8e8841,2019-10-17,1
1,4dd2b686802c,2019-10-17,1
2,16ade2e3fca9,2019-10-17,1
3,f4eb16dab09e,2019-10-17,1
4,ab1384c2af6d,2020-05-31,1
5,d18a00e52f60,2019-10-17,1
6,4aa8dbe05246,2022-02-08,1
7,704ce9e6f97e,2019-10-17,1
8,d83dd928639b,2019-10-17,1
9,7ca30789880f,2019-10-17,1
10,a8070899755b,2019-10-17,1
11,55377e71fe72,2019-10-17,1
12,2716ebe9a4a0,2021-11-19,1
13,b7fe80355def,2019-10-17,1
14,438924059eea,2022-08-25,1
15,61eb6b851b69,2019-10-17,1
16,83804453f390,2022-09-06,1
17,cebdc93fe44e,2019-10-17,1
18,3375d54aa7f9,2019-10-17,1
19,10bac6caa2cc,2019-10-17,1
20,1b75f80dc620,2022-10-04,1
21,b68661a0801f,2019-10-17,1
22,d8abe7c9af3d,2019-10-17,1
23,398674134c6a,2024-02-29,1
24,9bb7bd3aa5f3,2021-02-02,1
25,7c9ba1d2bdd3,2020-04-24,1
26,2c7591ed7b3e,2019-10-17,1
27,d34d4d061cfd,2023-09-13,1
28,9437eafe7bae,2019-10-17,1
29,4e0fbcf99cf9,2022-09-06,1
30,2e008b673129,2022-09-01,1
31,cf6af68fd6c8,2020-03-04,1
32,90e4b1dc3b37,2020-03-05,1
33,077a9ac8c96e,2024-08-22,1
34,2f7e924953af,2019-10-17,1
35,b8f656e1c257,2019-10-17,1
36,e9bee8431255,2022-06-19,1
37,49db9c973903,2019-10-17,1
38,7731f5aafc1e,2019-10-17,1
39,a1890526203f,2019-10-17,1
40,38049b1df176,2024-05-22,1
41,dfff59dace03,2024-04-03,1
42,0e8b2658c62b,2024-04-03,1
43,1c6196cdf547,2023-11-22,1
44,dc7191c3296c,2019-10-17,1
45,9ec228d36440,2019-10-17,1
46,8000f79642a8,2019-10-17,1
47,c2625a0c8a8b,2024-08-12,1
48,3b4418190c20,2019-10-17,1
49,d10f92211b7a,2022-02-11,1
50,2491db08674f,2019-10-17,1
51,fd0836293fa8,2023-06-23,1
52,0acbf086d61a,2024-05-03,1
53,9d6072422e8e,2024-04-20,1
54,78a8896d4474,2019-10-17,1
55,b42301424cda,2024-08-28,1
56,90f299fcafac,2019-10-17,1
57,c41176e28eec,2019-10-17,1
58,65f4d67ce285,2019-10-17,1
59,13c8e0c23737,2019-10-17,1
60,450b16072b58,2019-10-17,1
61,ef610fd0608b,2023-05-04,1
62,a32152514ed8,2019-10-17,1
63,96ac3a94faba,2019-10-17,1
64,2a6b394a8e8b,2019-10-17,1
65,f5217753fd4f,2022-09-22,1
66,056d36871f9b,2019-10-17,1
67,c2fd24440a04,2019-10-17,1
68,e41760c06ce7,2021-11-11,1
69,4c6516857bde,2019-10-17,1
70,e31ffb411e12,2019-10-17,1
71,a46cd6e7ccf0,2019-10-17,1
72,de8029f45575,2019-10-17,1
73,39bbba53153b,2019-10-17,1
74,3c52b08aaa7e,2019-10-17,1
75,cccb1cf040ab,2019-10-17,1
76,165f27447f15,2020-12-10,1
77,fa84119d3a3a,2023-12-26,1
78,3c3455fb4cfa,2019-10-17,1
79,1b9c6c457039,2019-10-17,1
80,f68cb5ff0ca5,2019-10-17,1
81,3a4698a8b016,2019-10-17,1
82,e3f1ea117aa2,2019-10-17,1
83,c296048d49bd,2019-10-17,1
84,41919e40d738,2023-12-04,1
85,e08d0bf869d2,2024-08-16,1
86,06960fd339df,2019-10-17,1
87,956a0e490f75,2020-12-28,1
88,3099790ac0cd,2019-12-19,1
89,53980d452f12,2019-10-17,1
90,821c8a056370,2023-11-20,1
91,45c8f54d2563,2019-10-17,1
92,671c63c3a795,2019-10-17,1
93,4fb34eceec0b,2020-03-04,1
94,343514e6bbe7,2019-10-17,1
95,91d83ebc6238,2019-10-17,1
96,b55a901fb8ff,2019-10-17,1
97,eed1e659c9e7,2019-10-17,1
98,29bcb787d8b1,2019-10-17,1
99,39b46793f326,2019-10-17,1
100,97c0030ce843,2019-10-17,1
101,0a7a1298f428,2019-10-17,1
102,f277492f1706,2019-10-17,1
103,2bf8e88dbbd9,2019-10-17,1
104,40c0a6a21413,2019-10-17,1
105,9f639a2ff0c3,2019-10-17,1
106,ae0ad3373eca,2019-10-17,1
107,4a02512090e8,2019-10-17,1
108,4eb71e27f4c5,2024-09-24,1
109,1ad5c7e3eb64,2023-11-16,1
110,8b802d186548,2024-09-09,1
111,3fcc722fa5bf,2023-12-12,1
112,6677b2fd619b,2020-06-29,1
113,223099c9b17d,2024-09-18,1
114,ace84a131e74,2019-10-17,1
115,429dcc2a932c,2024-07-14,1
116,b6a16fd572b2,2019-10-17,1
117,beb96267ee32,2019-10-17,1
118,49ba8162fea0,2024-06-18,1
119,4512b18a0c10,2024-02-12,1
120,26dade6734b3,2019-10-17,1
121,5875ad765801,2024-04-10,1
122,8cf35712c585,2019-10-17,1
123,f530596ff8f4,2019-10-17,1
124,16e8bd0a831f,2019-10-17,1
125,bd2cf9cc0ab4,2019-10-17,1
126,46ce134124f2,2019-10-17,1
127,8e50b79d3001,2019-10-17,1
128,50baa065beef,2024-07-14,1
129,7644acd14b07,2019-10-17,1
130,7828df81f2d0,2019-10-17,1
131,08cdce6118fe,2019-10-17,1
132,b16531eaa3dd,2023-12-14,1
133,f6c619cdccf3,2019-10-17,1
134,e884ebd4a244,2019-10-17,1
135,8a05cec5a9a8,2024-07-23,1
136,e61ce10aa786,2019-10-17,1
137,3a38cb1c2440,2019-10-17,1
138,2272be3a520d,2019-10-17,1
139,c5e18a86c28d,2019-10-17,1
140,f00ee6c59887,2024-08-12,1
141,494e0834cfa5,2019-10-17,1
142,e43c31d8d573,2022-08-25,1
143,a6d7eb9cad96,2022-08-25,1
144,6a79b34e5dd5,2019-10-17,1
145,f044b93e5e51,2019-10-17,1
146,ebab7ac1ba53,2019-10-17,1
147,f84421845506,2019-10-17,1
148,cc4ac7e3d2ce,2019-10-17,1
149,e6263d9b4d87,2024-04-22,1
150,02feb2cf88b5,2019-10-17,1
151,9d4100ba6f11,2019-10-17,1
152,0cf24b1c3693,2021-05-13,1
153,e7bdaa503519,2019-10-17,1
154,5d18b416ed99,2019-10-17,1
155,722bfad8c167,2024-02-28,1
156,4327e1f3ea94,2019-10-17,1
157,23c045747f51,2019-10-17,1
158,dd4dd749000e,2019-10-17,1
159,49eced5b5421,2019-10-17,1
160,3f7d8b24f7c7,2019-10-17,1
161,44d1ba9c948a,2024-09-05,1
162,7d55f140e7c2,2019-10-17,1
163,1f778a64958e,2023-09-13,1
164,6a9c9962dc61,2019-10-17,1
165,a5027de50ae4,2019-10-17,1
166,edef15255492,2019-10-17,1
167,1af06126db23,2019-10-17,1
168,0a54c7913940,2024-08-22,1
169,0ca589a27ca5,2019-10-17,1
170,7586d4f4599e,2019-10-17,1
171,e47a3b2906e7,2024-01-29,1
172,078b168dec87,2024-01-29,1
173,f9f864c3a5f4,2019-10-17,1
174,29f09dcf9e0d,2022-09-04,1
175,9992a8f55deb,2022-07-07,1
176,92c1209aeddf,2019-10-17,1
177,34acf9818b07,2019-10-17,1
178,a4f3f638e78e,2019-10-17,1
179,4b7ea164af56,2024-04-01,1
180,609c8dc307c6,2019-10-17,1
181,534aded07dc0,2019-10-17,1
182,78a86a59cf94,2019-10-17,1
183,980acefe68e0,2024-08-05,1
184,b81f66dca9a2,2023-11-03,1
185,0e218149c963,2024-06-21,1
186,5d880a340859,2021-08-02,1
187,a3bf691c5ea6,2019-10-17,1
188,b17b27349d7a,2024-08-05,1
189,b015752a9f2d,2021-06-08,1
190,b7d3681ed685,2019-10-17,1
191,d60ce4e4a4ad,2021-03-22,1
192,accdcf3b6ef1,2019-10-17,1
193,c86a7d1f0151,2019-10-17,1
194,898dfbab2301,2019-10-17,1
195,7378ee13e9c3,2019-10-17,1
196,b1a032b43c95,2019-10-17,1
197,9b6d3fd7b948,2019-10-17,1
198,529db911ee44,2019-10-17,1
199,2dac660f33bc,2019-10-17,1
200,2ae6f78cf3a1,2022-09-12,1
201,061444a395b3,2019-10-17,1
202,f02303ef78c5,2019-10-17,1
203,0022b986c8f0,2019-10-17,1
204,3e77e93a2843,2019-10-17,1
205,97944976859a,2019-10-17,1
206,d0b02043049d,2022-09-12,1
207,2e1ad8f25273,2022-05-04,1
208,e4a4205b00a0,2019-10-17,1
