node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,1.119816,16.9143
R1,SKU_B,0.132948,1.521053,11.441
R1,SKU_C,0.14054,1.431828,10.1881
R1,SKU_D,0.077954,5.825717,74.7324
R1,SKU_E,0.08107,1.042321,12.8571
R2,SKU_A,0.04691,0.96182,20.5034
R2,SKU_B,0.106405,1.790136,16.8238
R2,SKU_C,0.135223,1.47504,10.9082
R2,SKU_D,0.062566,5.937078,94.8936
R2,SKU_E,0.057893,0.866408,14.9658
R3,SKU_A,0.063665,1.009997,15.8642
R3,SKU_B,0.092004,1.204341,13.0901
R3,SKU_C,0.146445,1.318706,9.0048
R3,SKU_D,0.068073,1.548605,22.7492
R3,SKU_E,0.050516,3.246055,64.2574
Supplier,SKU_A,0.657279,,
Supplier,SKU_B,0.873035,,
Supplier,SKU_C,0.860238,,
Supplier,SKU_D,2.133825,,
Supplier,SKU_E,1.469398,,
W1,SKU_A,0.604611,1.111781,1.8388
W1,SKU_B,0.817904,1.668542,2.04
W1,SKU_C,0.778579,1.657536,2.1289
W1,SKU_D,2.507564,5.298012,2.1128
W1,SKU_E,0.511168,1.148132,2.2461
W2,SKU_A,1.009997,1.05425,1.0438
W2,SKU_B,1.204341,1.018168,0.8454
W2,SKU_C,1.318706,1.106101,0.8388
W2,SKU_D,1.548605,2.794678,1.8046
W2,SKU_E,3.246055,4.829716,1.4879
