t_ship,from_node,to_node,lead_time,qty,arrival_time
1,W2,R3,4,274.0,5
2,W1,R1,2,276.0,4
2,W2,R3,4,268.0,6
3,Supplier,W2,6,542.0,9
3,W1,R2,3,253.0,6
4,Supplier,W1,5,628.0,9
4,W2,R3,4,341.0,8
5,W1,R1,2,296.0,7
6,W1,R2,3,262.0,9
6,W2,R3,4,365.0,10
7,Supplier,W1,5,572.0,12
7,Supplier,W2,6,706.0,13
8,W1,R1,2,399.0,10
8,W2,R3,4,503.0,12
9,Supplier,W1,5,526.0,14
9,Supplier,W2,6,503.0,15
9,W1,R2,3,336.0,12
9,W2,R3,4,276.0,13
10,W1,R1,2,260.0,12
11,Supplier,W2,6,500.0,17
11,W2,R3,4,364.0,15
12,Supplier,W1,5,671.0,17
12,W1,R2,3,317.0,15
13,W1,R1,2,322.0,15
13,W2,R3,4,387.0,17
14,Supplier,W2,6,527.0,20
14,W2,R3,4,251.0,18
15,Supplier,W1,5,695.0,20
15,W1,R2,3,353.0,18
15,W1,R1,2,384.0,17
15,W2,R3,4,347.0,19
16,Supplier,W2,6,598.0,22
17,Supplier,W1,5,747.0,22
17,W1,R1,2,368.0,19
17,W2,R3,4,549.0,21
18,Supplier,W2,6,549.0,24
18,W1,R2,3,307.0,21
20,Supplier,W1,5,654.0,25
20,W1,R1,2,394.0,22
20,W2,R3,4,615.0,24
21,Supplier,W2,6,615.0,27
21,W1,R2,3,265.0,24
22,W1,R1,2,358.0,24
22,W2,R3,4,552.0,26
23,Supplier,W1,5,757.0,28
23,Supplier,W2,6,552.0,29
24,W1,R2,3,297.0,27
24,W2,R3,4,444.0,28
25,W1,R1,2,440.0,27
26,Supplier,W1,5,720.0,31
26,Supplier,W2,6,656.0,32
27,W2,R3,4,607.0,31
28,W1,R2,3,319.0,31
28,W1,R1,2,402.0,30
29,Supplier,W1,5,638.0,34
29,Supplier,W2,6,628.0,35
29,W2,R3,4,538.0,33
30,W1,R1,2,359.0,32
30,W2,R3,4,260.0,34
31,Supplier,W1,5,534.0,36
31,Supplier,W2,6,602.0,37
32,W1,R2,3,328.0,35
32,W2,R3,4,447.0,36
33,W1,R1,2,369.0,35
34,Supplier,W1,5,603.0,39
34,Supplier,W2,6,618.0,40
35,W1,R2,3,275.0,38
35,W1,R1,2,315.0,37
35,W2,R3,4,661.0,39
36,Supplier,W1,5,509.0,41
37,Supplier,W2,6,753.0,43
37,W1,R2,3,263.0,40
37,W1,R1,2,359.0,39
37,W2,R3,4,613.0,41
38,Supplier,W1,5,622.0,43
39,Supplier,W2,6,538.0,45
40,W1,R2,3,277.0,43
40,W1,R1,2,328.0,42
40,W2,R3,4,627.0,44
41,Supplier,W1,5,630.0,46
42,Supplier,W2,6,628.0,48
42,W1,R1,2,299.0,44
43,W1,R2,3,273.0,46
43,W2,R3,4,805.0,47
44,Supplier,W1,5,727.0,49
44,Supplier,W2,6,579.0,50
44,W1,R1,2,356.0,46
45,W2,R3,4,496.0,49
46,W1,R2,3,255.0,49
47,Supplier,W1,5,666.0,52
47,Supplier,W2,6,753.0,53
47,W1,R1,2,354.0,49
48,W2,R3,4,695.0,52
49,W1,R1,2,255.0,51
50,Supplier,W1,5,622.0,55
50,Supplier,W2,6,666.0,56
50,W1,R2,3,329.0,53
50,W2,R3,4,521.0,54
51,W1,R1,2,364.0,53
52,Supplier,W1,5,543.0,57
52,Supplier,W2,6,637.0,58
53,W1,R1,2,256.0,55
53,W2,R3,4,765.0,57
54,W1,R2,3,304.0,57
55,Supplier,W1,5,572.0,60
55,Supplier,W2,6,645.0,61
56,W1,R1,2,357.0,58
56,W2,R3,4,653.0,60
58,Supplier,W1,5,652.0,63
58,Supplier,W2,6,697.0,64
58,W1,R2,3,303.0,61
58,W1,R1,2,380.0,60
58,W2,R3,4,539.0,62
61,Supplier,W1,5,653.0,66
61,Supplier,W2,6,624.0,67
61,W1,R1,2,326.0,63
61,W2,R3,4,528.0,65
62,W1,R2,3,323.0,65
63,W1,R1,2,342.0,65
63,W2,R3,4,353.0,67
64,Supplier,W1,5,723.0,69
64,Supplier,W2,6,666.0,70
64,W2,R3,4,450.0,68
65,W1,R2,3,348.0,68
66,Supplier,W1,5,656.0,71
66,Supplier,W2,6,595.0,72
66,W1,R1,2,574.0,68
67,W2,R3,4,673.0,71
69,Supplier,W1,5,694.0,74
69,Supplier,W2,6,614.0,75
69,W1,R2,3,358.0,72
69,W1,R1,2,377.0,71
70,W2,R3,4,620.0,74
71,W1,R1,2,374.0,73
72,Supplier,W1,5,742.0,77
72,Supplier,W2,6,699.0,78
72,W1,R2,3,286.0,75
72,W2,R3,4,636.0,76
74,Supplier,W1,5,556.0,79
74,Supplier,W2,6,579.0,80
74,W1,R1,2,487.0,76
75,W1,R2,3,260.0,78
75,W2,R3,4,697.0,79
77,Supplier,W1,5,635.0,82
77,Supplier,W2,6,653.0,83
77,W1,R1,2,422.0,79
78,W1,R2,3,297.0,81
78,W2,R3,4,731.0,82
79,Supplier,W1,5,604.0,84
79,Supplier,W2,6,529.0,85
79,W1,R1,2,421.0,81
80,W2,R3,4,518.0,84
81,Supplier,W1,5,575.0,86
81,Supplier,W2,6,518.0,87
81,W1,R2,3,284.0,84
82,W1,R1,2,426.0,84
83,W2,R3,4,678.0,87
84,Supplier,W1,5,624.0,89
84,Supplier,W2,6,678.0,90
84,W1,R1,2,320.0,86
85,W1,R2,3,357.0,88
85,W2,R3,4,650.0,89
86,Supplier,W1,5,613.0,91
86,Supplier,W2,6,650.0,92
86,W1,R1,2,440.0,88
87,W2,R3,4,521.0,91
88,Supplier,W1,5,535.0,93
88,Supplier,W2,6,535.0,94
88,W1,R2,3,252.0,91
89,W1,R1,2,366.0,91
