E8_lambda_1e+05 — Bullwhip-aware (λ=1e+05)
============================================================
Total cost            :     260,690.14
  Holding             :      77,246.59  (29.6%)
  Transport           :     136,930.00  (52.5%)
  Ordering            :      38,832.06  (14.9%)
  Shortage            :       7,681.50  (2.9%)
Fill rate             :         96.83%

Fill rate by SKU:
  SKU_A           98.47%
  SKU_B           99.06%
  SKU_C           99.36%
  SKU_D           97.22%
  SKU_E           85.76%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
