time,node_id,on_hand,backlog_external,backlog_children,pipeline_in,placed_orders
0,Supplier,0.0,0.0,0.0,0.0,0.0
0,W1,1736.0,0.0,0.0,0.0,0.0
0,W2,1849.0,0.0,0.0,0.0,0.0
0,R1,433.0,0.0,0.0,0.0,155.0
0,R2,394.0,0.0,0.0,0.0,87.0
0,R3,1083.0,0.0,0.0,0.0,274.0
1,Supplier,0.0,0.0,0.0,0.0,0.0
1,W1,1736.0,0.0,242.0,0.0,242.0
1,W2,1575.0,0.0,0.0,0.0,274.0
1,R1,312.0,0.0,0.0,0.0,276.0
1,R2,304.0,0.0,0.0,0.0,177.0
1,R3,815.0,0.0,0.0,274.0,268.0
2,Supplier,0.0,0.0,516.0,0.0,0.0
2,W1,1460.0,0.0,177.0,0.0,453.0
2,W2,1307.0,0.0,0.0,0.0,542.0
2,R1,213.0,0.0,0.0,276.0,99.0
2,R2,228.0,0.0,0.0,0.0,253.0
2,R3,662.0,0.0,0.0,542.0,153.0
3,Supplier,0.0,0.0,0.0,0.0,0.0
3,W1,1207.0,0.0,99.0,453.0,175.0
3,W2,1307.0,0.0,153.0,542.0,153.0
3,R1,108.0,0.0,0.0,276.0,204.0
3,R2,145.0,0.0,0.0,253.0,83.0
3,R3,474.0,0.0,0.0,542.0,341.0
4,Supplier,0.0,0.0,328.0,0.0,0.0
4,W1,1003.0,0.0,83.0,453.0,363.0
4,W2,966.0,0.0,0.0,542.0,341.0
4,R1,292.0,0.0,0.0,204.0,92.0
4,R2,72.0,0.0,0.0,253.0,156.0
4,R3,320.0,0.0,0.0,883.0,154.0
5,Supplier,0.0,0.0,704.0,0.0,0.0
5,W1,1003.0,0.0,248.0,453.0,528.0
5,W2,966.0,0.0,154.0,542.0,495.0
5,R1,179.0,0.0,0.0,204.0,205.0
5,R2,0.0,34.0,0.0,253.0,262.0
5,R3,383.0,0.0,0.0,609.0,365.0
6,Supplier,0.0,0.0,0.0,0.0,0.0
6,W1,536.0,0.0,0.0,981.0,219.0
6,W2,601.0,0.0,0.0,1037.0,211.0
6,R1,273.0,0.0,0.0,205.0,110.0
6,R2,128.0,0.0,0.0,262.0,91.0
6,R3,447.0,0.0,0.0,706.0,204.0
7,Supplier,0.0,0.0,430.0,0.0,0.0
7,W1,536.0,0.0,201.0,981.0,420.0
7,W2,397.0,0.0,0.0,1037.0,415.0
7,R1,97.0,0.0,0.0,205.0,286.0
7,R2,0.0,21.0,0.0,262.0,240.0
7,R3,148.0,0.0,0.0,910.0,299.0
8,Supplier,0.0,0.0,0.0,0.0,0.0
8,W1,463.0,0.0,0.0,948.0,325.0
8,W2,98.0,0.0,0.0,1452.0,299.0
8,R1,137.0,0.0,0.0,286.0,165.0
8,R2,0.0,117.0,0.0,502.0,96.0
8,R3,213.0,0.0,0.0,868.0,276.0
9,Supplier,0.0,0.0,624.0,0.0,0.0
9,W1,463.0,0.0,261.0,948.0,586.0
9,W2,364.0,0.0,0.0,910.0,575.0
9,R1,42.0,0.0,0.0,286.0,260.0
9,R2,32.0,0.0,0.0,240.0,209.0
9,R3,0.0,11.0,0.0,1144.0,224.0
10,Supplier,0.0,0.0,0.0,0.0,0.0
10,W1,0.0,0.0,6.0,1534.0,208.0
10,W2,140.0,0.0,0.0,1485.0,224.0
10,R1,232.0,0.0,0.0,254.0,102.0
10,R2,0.0,74.0,0.0,449.0,106.0
10,R3,170.0,0.0,0.0,1003.0,184.0
11,Supplier,0.0,0.0,432.0,0.0,0.0
11,W1,528.0,0.0,208.0,1006.0,410.0
11,W2,140.0,0.0,184.0,1485.0,408.0
11,R1,125.0,0.0,0.0,254.0,209.0
11,R2,68.0,0.0,0.0,209.0,204.0
11,R3,188.0,0.0,0.0,799.0,370.0
12,Supplier,0.0,0.0,0.0,0.0,0.0
12,W1,115.0,0.0,0.0,1416.0,205.0
12,W2,265.0,0.0,0.0,1398.0,186.0
12,R1,260.0,0.0,0.0,209.0,119.0
12,R2,0.0,25.0,0.0,413.0,93.0
12,R3,330.0,0.0,0.0,870.0,157.0
13,Supplier,0.0,0.0,391.0,0.0,0.0
13,W1,535.0,0.0,212.0,996.0,417.0
13,W2,265.0,0.0,157.0,1398.0,343.0
13,R1,100.0,0.0,0.0,209.0,279.0
13,R2,66.0,0.0,0.0,204.0,211.0
13,R3,355.0,0.0,0.0,594.0,408.0
14,Supplier,0.0,0.0,343.0,0.0,0.0
14,W1,45.0,0.0,0.0,1413.0,278.0
14,W2,272.0,0.0,0.0,983.0,594.0
14,R1,85.0,0.0,0.0,279.0,224.0
