t_ship,from_node,to_node,lead_time,qty,arrival_time
1,W2,R3,4,274.0,5
2,W1,R1,2,276.0,4
2,W2,R3,4,268.0,6
3,Supplier,W1,5,453.0,8
3,Supplier,W2,6,542.0,9
3,W1,R2,3,253.0,6
4,W1,R1,2,204.0,6
4,W2,R3,4,341.0,8
6,Supplier,W1,5,528.0,11
6,Supplier,W2,6,495.0,12
6,W1,R2,3,262.0,9
6,W1,R1,2,205.0,8
6,W2,R3,4,365.0,10
7,W2,R3,4,204.0,11
8,Supplier,W1,5,420.0,13
8,Supplier,W2,6,415.0,14
8,W1,R2,3,240.0,11
8,W1,R1,2,286.0,10
8,W2,R3,4,299.0,12
9,W2,R3,4,276.0,13
10,Supplier,W1,5,586.0,15
10,Supplier,W2,6,575.0,16
10,W1,R2,3,209.0,13
10,W1,R1,2,254.0,12
10,W2,R3,4,224.0,14
12,Supplier,W1,5,410.0,17
12,Supplier,W2,6,408.0,18
12,W1,R2,3,204.0,15
12,W1,R1,2,209.0,14
12,W2,R3,4,370.0,16
14,Supplier,W1,5,417.0,19
14,W1,R2,3,211.0,17
14,W1,R1,2,279.0,16
14,W2,R3,4,408.0,18
15,Supplier,W2,6,594.0,21
15,W1,R1,2,224.0,17
15,W2,R3,4,272.0,19
16,Supplier,W1,5,644.0,21
16,W1,R2,3,297.0,19
16,W2,R3,4,407.0,20
17,Supplier,W2,6,679.0,23
17,W1,R1,2,368.0,19
18,Supplier,W1,5,616.0,23
18,W2,R3,4,463.0,22
19,Supplier,W2,6,463.0,25
19,W1,R2,3,253.0,22
19,W1,R1,2,259.0,21
20,Supplier,W1,5,419.0,25
21,W1,R1,2,289.0,23
21,W2,R3,4,617.0,25
22,Supplier,W1,5,453.0,27
22,Supplier,W2,6,617.0,28
22,W1,R2,3,264.0,25
23,W1,R1,2,388.0,25
23,W2,R3,4,576.0,27
24,Supplier,W1,5,596.0,29
24,Supplier,W2,6,576.0,30
25,W1,R2,3,280.0,28
25,W1,R1,2,256.0,27
25,W2,R3,4,384.0,29
26,Supplier,W1,5,428.0,31
26,W2,R3,4,205.0,30
27,Supplier,W2,6,589.0,33
27,W1,R1,2,246.0,29
28,W1,R2,3,236.0,31
28,W2,R3,4,423.0,32
29,Supplier,W1,5,638.0,34
29,Supplier,W2,6,423.0,35
29,W1,R1,2,321.0,31
29,W2,R3,4,261.0,33
30,W2,R3,4,341.0,34
31,Supplier,W1,5,534.0,36
31,Supplier,W2,6,602.0,37
31,W1,R2,3,245.0,34
31,W1,R1,2,313.0,33
32,W2,R3,4,235.0,36
33,Supplier,W2,6,410.0,39
33,W1,R1,2,250.0,35
33,W2,R3,4,383.0,37
34,Supplier,W1,5,603.0,39
34,W1,R2,3,266.0,37
34,W2,R3,4,203.0,38
35,Supplier,W2,6,411.0,41
35,W1,R1,2,315.0,37
35,W2,R3,4,250.0,39
36,Supplier,W1,5,509.0,41
36,W1,R2,3,230.0,39
37,Supplier,W2,6,550.0,43
37,W1,R1,2,359.0,39
37,W2,R3,4,613.0,41
38,Supplier,W1,5,622.0,43
39,Supplier,W2,6,538.0,45
39,W1,R2,3,318.0,42
39,W1,R1,2,217.0,41
39,W2,R3,4,431.0,43
40,Supplier,W1,5,410.0,45
41,Supplier,W2,6,402.0,47
41,W1,R1,2,259.0,43
41,W2,R3,4,422.0,45
42,Supplier,W1,5,434.0,47
42,W1,R2,3,257.0,45
43,Supplier,W2,6,460.0,49
43,W1,R1,2,331.0,45
43,W2,R3,4,579.0,47
44,Supplier,W1,5,513.0,49
45,Supplier,W2,6,641.0,51
45,W1,R2,3,278.0,48
45,W1,R1,2,295.0,47
45,W2,R3,4,496.0,49
46,Supplier,W1,5,473.0,51
47,Supplier,W2,6,457.0,53
47,W1,R1,2,235.0,49
47,W2,R3,4,466.0,51
48,W1,R2,3,241.0,51
49,Supplier,W1,5,610.0,54
49,Supplier,W2,6,438.0,55
49,W1,R1,2,255.0,51
49,W2,R3,4,457.0,53
51,Supplier,W1,5,452.0,56
51,Supplier,W2,6,521.0,57
51,W1,R2,3,263.0,54
51,W1,R1,2,364.0,53
51,W2,R3,4,637.0,55
53,Supplier,W1,5,507.0,58
53,Supplier,W2,6,551.0,59
53,W1,R1,2,256.0,55
53,W2,R3,4,421.0,57
54,W1,R2,3,206.0,57
55,Supplier,W2,6,438.0,61
55,W1,R1,2,222.0,57
55,W2,R3,4,432.0,59
56,Supplier,W1,5,538.0,61
57,Supplier,W2,6,429.0,63
57,W1,R2,3,220.0,60
57,W1,R1,2,320.0,59
57,W2,R3,4,489.0,61
58,Supplier,W1,5,475.0,63
59,Supplier,W2,6,539.0,65
59,W1,R1,2,299.0,61
59,W2,R3,4,454.0,63
60,Supplier,W1,5,466.0,65
60,W1,R2,3,236.0,63
61,W1,R1,2,222.0,63
61,W2,R3,4,345.0,65
62,Supplier,W2,6,528.0,68
62,W2,R3,4,229.0,66
63,Supplier,W1,5,619.0,68
63,W1,R2,3,277.0,66
63,W1,R1,2,342.0,65
63,W2,R3,4,262.0,67
64,Supplier,W2,6,491.0,70
64,W2,R3,4,291.0,68
65,Supplier,W1,5,607.0,70
65,W1,R2,3,241.0,68
65,W1,R1,2,415.0,67
65,W2,R3,4,304.0,69
66,Supplier,W2,6,595.0,72
67,Supplier,W1,5,628.0,72
67,W2,R3,4,235.0,71
68,W1,R2,3,295.0,71
68,W1,R1,2,399.0,70
68,W2,R3,4,379.0,72
69,Supplier,W1,5,406.0,74
69,Supplier,W2,6,614.0,75
70,W1,R1,2,292.0,72
70,W2,R3,4,396.0,74
71,Supplier,W1,5,422.0,76
71,W1,R2,3,231.0,74
71,W2,R3,4,244.0,75
72,Supplier,W2,6,699.0,78
72,W1,R1,2,433.0,74
72,W2,R3,4,392.0,76
73,Supplier,W1,5,652.0,78
73,W1,R2,3,215.0,76
73,W2,R3,4,203.0,77
74,Supplier,W2,6,579.0,80
74,W1,R1,2,273.0,76
75,Supplier,W1,5,461.0,80
75,W2,R3,4,494.0,79
76,Supplier,W2,6,451.0,82
76,W1,R2,3,228.0,79
76,W1,R1,2,261.0,78
78,Supplier,W1,5,645.0,83
78,Supplier,W2,6,442.0,84
78,W1,R2,3,232.0,81
78,W1,R1,2,372.0,80
78,W2,R3,4,731.0,82
79,W1,R1,2,210.0,81
80,Supplier,W1,5,691.0,85
80,Supplier,W2,6,592.0,86
80,W1,R2,3,206.0,83
80,W2,R3,4,518.0,84
81,W1,R1,2,288.0,83
82,Supplier,W1,5,448.0,87
82,Supplier,W2,6,438.0,88
82,W2,R3,4,465.0,86
83,W1,R2,3,232.0,86
83,W1,R1,2,263.0,85
84,Supplier,W1,5,417.0,89
84,Supplier,W2,6,455.0,90
84,W2,R3,4,524.0,88
85,W1,R2,3,203.0,88
85,W1,R1,2,410.0,87
86,Supplier,W1,5,613.0,91
86,Supplier,W2,6,650.0,92
86,W1,R1,2,225.0,88
86,W2,R3,4,645.0,90
88,Supplier,W1,5,535.0,93
88,Supplier,W2,6,535.0,94
88,W1,R2,3,252.0,91
88,W1,R1,2,229.0,90
88,W2,R3,4,398.0,92
