E7_sigma_10 — Forecast σ=10%
============================================================
Total cost            :     272,812.15
  Holding             :      84,110.79  (30.8%)
  Transport           :     138,578.00  (50.8%)
  Ordering            :      38,832.06  (14.2%)
  Shortage            :      11,291.30  (4.1%)
Fill rate             :         96.71%

Fill rate by SKU:
  SKU_A           96.36%
  SKU_B           99.86%
  SKU_C           99.75%
  SKU_D           89.96%
  SKU_E           97.35%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
