trial,cost,fill_rate,best_cost
0,23604319.800068,0.68820808722932,23604319.800068
1,16544737.134338291,0.7588111781166171,16544737.134338291
2,20873131.002876848,0.7156077821912316,16544737.134338291
3,24590481.066174578,0.6782736828182543,16544737.134338291
4,14541947.000414241,0.7786283205958576,14541947.000414241
5,12580380.395463586,0.7979783993353642,12580380.395463586
6,13193051.300864633,0.7922806350413537,12580380.395463586
7,5216890.423225189,0.8706812103977482,5216890.423225189
8,10361405.179351285,0.8202383265064872,5216890.423225189
9,30634740.666571304,0.618446124404287,5216890.423225189
10,41138479.40544566,0.5137246473255435,5216890.423225189
11,5612275.251827564,0.8675853631317244,5216890.423225189
12,13099556.28060984,0.7935557603839016,5216890.423225189
13,263220.169,0.9591009229675495,263220.169
14,238686.749,0.9953148960266516,238686.749
15,4723242.333104664,0.8760214435989534,238686.749
16,9051538.019212823,0.8324088502378718,238686.749
17,2681487.3814233034,0.896059718025767,238686.749
18,560729.2073999523,0.9173958509860005,238686.749
19,228328.136,0.9562737406845584,228328.136
20,13432406.023105787,0.7885916581589422,228328.136
21,301864.379,0.9281217837701551,228328.136
22,245760.993,0.9905181927526587,228328.136
23,224397.622,0.9879472755304066,224397.622
24,2760806.524159611,0.8948486589484039,224397.622
25,9270281.405454302,0.830900193025457,224397.622
26,250068.935,0.9472031975266288,224397.622
27,210451.80299999999,0.9638108267854855,210451.80299999999
28,12867044.437919933,0.7944940211708007,210451.80299999999
29,7399558.963112844,0.8483613502688716,210451.80299999999
30,11304564.513380103,0.810181989526199,210451.80299999999
31,226569.11,0.9794512621054241,210451.80299999999
32,256039.481,0.9311659646932879,210451.80299999999
33,231146.379,0.9818837135287286,210451.80299999999
34,554500.8125799627,0.9168275212142004,210451.80299999999
35,10617763.895165011,0.8169688803283499,210451.80299999999
36,7440784.2303280365,0.8485659489867197,210451.80299999999
37,16068997.54545363,0.7631656174954637,210451.80299999999
38,3092165.7055648323,0.8917094119543517,210451.80299999999
39,11723152.34372826,0.8057304174227174,210451.80299999999
40,15405946.801284065,0.7701302405171594,210451.80299999999
41,253895.757,0.950046913039345,210451.80299999999
42,233550.329,0.9573670005001302,210451.80299999999
43,233627.384,0.9282499163005246,210451.80299999999
44,252340.791,0.9476144616160406,210451.80299999999
45,6948586.233070052,0.8538235160392995,210451.80299999999
46,242026.758,0.9614362416662189,210451.80299999999
47,245263.625,0.973245100997367,210451.80299999999
48,11252712.098277837,0.8108722518672217,210451.80299999999
49,16727971.421521815,0.7564407263047819,210451.80299999999
50,1701723.6835186197,0.9059651892848138,210451.80299999999
51,235498.685,0.9546700174012243,210451.80299999999
52,245233.43,0.9389675824698165,210451.80299999999
53,247499.971,0.9412037017901355,210451.80299999999
54,228996.231,0.9604711143810165,210451.80299999999
55,250766.251,0.951747769047314,210451.80299999999
56,701237.4010916229,0.9155565291790838,210451.80299999999
57,1526611.186781436,0.9076267788721857,210451.80299999999
58,259318.124,0.9530952272699091,210451.80299999999
59,1459223.660500913,0.9079843099649909,210451.80299999999
60,5936409.0580412345,0.8638798530195877,210451.80299999999
61,665155.0026414301,0.9158871937735857,210451.80299999999
62,238380.484,0.9644597560521954,210451.80299999999
63,10898285.332895383,0.8141003649710462,210451.80299999999
64,4096926.6820021695,0.8815228757899783,210451.80299999999
65,224053.833,0.9594853205586579,210451.80299999999
66,245335.921,0.9427908918437444,210451.80299999999
67,810692.8391986146,0.9147939339580139,210451.80299999999
68,314988.6913633395,0.9197043031863666,210451.80299999999
69,16648797.370387342,0.7571867882961266,210451.80299999999
70,279423.318,0.9328978205069914,210451.80299999999
71,215845.301,0.9671774056882577,210451.80299999999
72,1173876.72967003,0.9106420266432997,210451.80299999999
73,229056.31100000002,0.9363263990212328,210451.80299999999
74,213743.35,0.9661399455230081,210451.80299999999
75,678733.7837750398,0.9155916622922496,210451.80299999999
76,4679021.086361531,0.8760255769063847,210451.80299999999
77,309660.498,0.9393333801774842,210451.80299999999
78,15209299.393075686,0.7711325675692432,210451.80299999999
79,280850.9268220981,0.9196795033417791,210451.80299999999
80,213392.988,0.9889537358899217,210451.80299999999
81,212241.513,0.9830059064963192,210451.80299999999
82,211294.341,0.9762768819982062,210451.80299999999
83,217303.318,0.9777524727511707,210451.80299999999
84,216674.216,0.9677085356931763,210451.80299999999
85,1633543.6069859664,0.9062462541901404,210451.80299999999
86,5243093.739697251,0.8708899424230275,210451.80299999999
87,226627.518,0.935989534465584,210451.80299999999
88,236799.628,0.9337513484915495,210451.80299999999
89,244021.752,0.9476454614217751,210451.80299999999
90,2256388.9303973434,0.8999532936260266,210451.80299999999
91,231767.929,0.9430078904838863,210451.80299999999
92,215923.092,0.978564667661416,210451.80299999999
93,221428.53,0.9658568139639658,210451.80299999999
94,226155.478,0.9438738183907381,210451.80299999999
95,224094.843,0.9602768489317467,210451.80299999999
96,2614401.089000605,0.896406915849994,210451.80299999999
97,5185736.121655578,0.8710904078334443,210451.80299999999
98,6098703.470302505,0.861631333776975,210451.80299999999
99,233633.346,0.998299143992031,210451.80299999999
