time,node_id,on_hand,backlog_external,backlog_children,pipeline_in,placed_orders
0,Supplier,0.0,0.0,0.0,0.0,0.0
0,W1,1736.0,0.0,0.0,0.0,0.0
0,W2,1849.0,0.0,0.0,0.0,0.0
0,R1,433.0,0.0,0.0,0.0,155.0
0,R2,394.0,0.0,0.0,0.0,87.0
0,R3,1083.0,0.0,0.0,0.0,274.0
1,Supplier,0.0,0.0,0.0,0.0,0.0
1,W1,1736.0,0.0,242.0,0.0,242.0
1,W2,1849.0,0.0,274.0,0.0,274.0
1,R1,312.0,0.0,0.0,0.0,276.0
1,R2,304.0,0.0,0.0,0.0,177.0
1,R3,815.0,0.0,0.0,0.0,542.0
2,Supplier,0.0,0.0,516.0,0.0,0.0
2,W1,1736.0,0.0,453.0,0.0,453.0
2,W2,1307.0,0.0,0.0,0.0,542.0
2,R1,213.0,0.0,0.0,0.0,375.0
2,R2,228.0,0.0,0.0,0.0,253.0
2,R3,662.0,0.0,0.0,542.0,153.0
3,Supplier,0.0,0.0,995.0,0.0,0.0
3,W1,1736.0,0.0,628.0,0.0,628.0
3,W2,1307.0,0.0,153.0,0.0,695.0
3,R1,108.0,0.0,0.0,0.0,480.0
3,R2,145.0,0.0,0.0,0.0,336.0
3,R3,474.0,0.0,0.0,542.0,341.0
4,Supplier,0.0,0.0,1323.0,0.0,0.0
4,W1,1256.0,0.0,336.0,0.0,816.0
4,W2,1307.0,0.0,341.0,0.0,883.0
4,R1,16.0,0.0,0.0,480.0,92.0
4,R2,72.0,0.0,0.0,0.0,409.0
4,R3,320.0,0.0,0.0,542.0,495.0
5,Supplier,0.0,0.0,0.0,0.0,0.0
5,W1,847.0,0.0,92.0,816.0,165.0
5,W2,812.0,0.0,0.0,883.0,154.0
5,R1,0.0,97.0,0.0,480.0,205.0
5,R2,0.0,34.0,0.0,409.0,106.0
5,R3,109.0,0.0,0.0,1037.0,211.0
6,Supplier,0.0,0.0,319.0,0.0,0.0
6,W1,847.0,0.0,311.0,816.0,384.0
6,W2,812.0,0.0,211.0,883.0,365.0
6,R1,273.0,0.0,0.0,0.0,315.0
6,R2,0.0,125.0,0.0,409.0,197.0
6,R3,447.0,0.0,0.0,495.0,415.0
7,Supplier,0.0,0.0,749.0,0.0,0.0
7,W1,847.0,0.0,512.0,816.0,585.0
7,W2,397.0,0.0,0.0,883.0,569.0
7,R1,97.0,0.0,0.0,0.0,491.0
7,R2,0.0,274.0,0.0,409.0,346.0
7,R3,148.0,0.0,0.0,910.0,299.0
8,Supplier,0.0,0.0,1154.0,0.0,0.0
8,W1,356.0,0.0,346.0,816.0,910.0
8,W2,397.0,0.0,299.0,883.0,868.0
8,R1,0.0,68.0,0.0,491.0,165.0
8,R2,39.0,0.0,0.0,0.0,442.0
8,R3,0.0,128.0,0.0,910.0,575.0
9,Supplier,0.0,0.0,0.0,0.0,0.0
9,W1,356.0,0.0,607.0,1726.0,261.0
9,W2,397.0,0.0,575.0,1751.0,276.0
9,R1,0.0,163.0,0.0,491.0,260.0
9,R2,0.0,74.0,0.0,0.0,555.0
9,R3,143.0,0.0,0.0,415.0,799.0
10,Supplier,0.0,0.0,537.0,0.0,0.0
10,W1,617.0,0.0,260.0,910.0,469.0
10,W2,397.0,0.0,799.0,1751.0,500.0
10,R1,232.0,0.0,0.0,0.0,356.0
10,R2,0.0,180.0,0.0,555.0,106.0
10,R3,0.0,41.0,0.0,415.0,983.0
11,Supplier,0.0,0.0,969.0,0.0,0.0
11,W1,617.0,0.0,462.0,910.0,671.0
11,W2,297.0,0.0,0.0,868.0,684.0
11,R1,125.0,0.0,0.0,0.0,463.0
11,R2,0.0,278.0,0.0,555.0,204.0
11,R3,188.0,0.0,0.0,983.0,186.0
12,Supplier,0.0,0.0,1355.0,0.0,0.0
12,W1,154.0,0.0,204.0,910.0,876.0
12,W2,297.0,0.0,186.0,868.0,870.0
12,R1,6.0,0.0,0.0,463.0,119.0
12,R2,0.0,371.0,0.0,555.0,297.0
12,R3,31.0,0.0,0.0,983.0,343.0
13,Supplier,0.0,0.0,0.0,0.0,0.0
13,W1,154.0,0.0,416.0,1786.0,212.0
13,W2,297.0,0.0,343.0,1738.0,157.0
13,R1,0.0,154.0,0.0,463.0,279.0
13,R2,66.0,0.0,0.0,0.0,415.0
13,R3,0.0,220.0,0.0,983.0,594.0
14,Supplier,0.0,0.0,369.0,0.0,0.0
14,W1,649.0,0.0,279.0,876.0,490.0
14,W2,297.0,0.0,594.0,1738.0,408.0
14,R1,85.0,0.0,0.0,0.0,503.0
