t_ship,from_node,to_node,lead_time,qty,arrival_time
2,W2,R3,4,542.0,6
4,W1,R1,2,480.0,6
5,Supplier,W2,6,883.0,11
5,Supplier,W1,5,816.0,10
5,W1,R2,3,409.0,8
5,W2,R3,4,495.0,9
7,W2,R3,4,415.0,11
8,W1,R1,2,491.0,10
9,Supplier,W2,6,868.0,15
9,Supplier,W1,5,910.0,14
10,W1,R2,3,555.0,13
11,W2,R3,4,983.0,15
12,W1,R1,2,463.0,14
13,Supplier,W2,6,870.0,19
13,Supplier,W1,5,876.0,18
14,W1,R2,3,415.0,17
15,W1,R1,2,503.0,17
15,W2,R3,4,941.0,19
16,Supplier,W1,5,856.0,21
17,Supplier,W2,6,1087.0,23
18,W1,R2,3,473.0,21
18,W1,R1,2,501.0,20
19,Supplier,W1,5,832.0,24
19,W2,R3,4,977.0,23
21,Supplier,W2,6,832.0,27
21,W1,R1,2,415.0,23
23,Supplier,W1,5,960.0,28
23,W1,R2,3,449.0,26
23,W2,R3,4,1011.0,27
24,Supplier,W2,6,824.0,30
24,W1,R1,2,505.0,26
27,Supplier,W1,5,912.0,32
27,W2,R3,4,779.0,31
28,W1,R2,3,408.0,31
28,W1,R1,2,541.0,30
29,Supplier,W2,6,1012.0,35
30,W2,R3,4,835.0,34
31,Supplier,W1,5,980.0,36
32,W1,R1,2,601.0,34
33,Supplier,W2,6,1012.0,39
33,W1,R2,3,409.0,36
35,Supplier,W1,5,854.0,40
35,W2,R3,4,1071.0,39
36,W1,R1,2,622.0,38
37,Supplier,W2,6,961.0,43
37,W1,R2,3,457.0,40
38,Supplier,W1,5,880.0,43
39,W2,R3,4,1044.0,43
40,W1,R1,2,532.0,42
41,Supplier,W2,6,940.0,47
42,Supplier,W1,5,844.0,47
42,W1,R2,3,450.0,45
43,W1,R1,2,454.0,45
43,W2,R3,4,1001.0,47
44,Supplier,W2,6,805.0,50
46,Supplier,W1,5,986.0,51
46,W1,R1,2,411.0,48
47,W1,R2,3,422.0,50
47,W2,R3,4,962.0,51
48,Supplier,W2,6,962.0,54
50,Supplier,W1,5,815.0,55
50,W1,R1,2,490.0,52
50,W2,R3,4,750.0,54
52,Supplier,W2,6,1094.0,58
52,W1,R2,3,429.0,55
53,W1,R1,2,504.0,55
54,Supplier,W1,5,945.0,59
54,W2,R3,4,989.0,58
56,Supplier,W2,6,853.0,62
57,W1,R1,2,542.0,59
58,Supplier,W1,5,822.0,63
58,W2,R3,4,968.0,62
59,W1,R2,3,524.0,62
60,Supplier,W2,6,943.0,66
60,W1,R1,2,417.0,62
62,Supplier,W1,5,845.0,67
62,W2,R3,4,757.0,66
63,W1,R1,2,446.0,65
64,Supplier,W2,6,836.0,70
64,W1,R2,3,467.0,67
65,Supplier,W1,5,847.0,70
66,W2,R3,4,1042.0,70
67,W1,R1,2,698.0,69
68,Supplier,W2,6,985.0,74
68,Supplier,W1,5,835.0,73
70,W1,R2,3,545.0,73
70,W1,R1,2,408.0,72
70,W2,R3,4,825.0,74
72,Supplier,W2,6,923.0,78
72,Supplier,W1,5,941.0,77
73,W1,R1,2,560.0,75
74,W1,R2,3,407.0,77
74,W2,R3,4,1093.0,78
76,Supplier,W2,6,1030.0,82
76,Supplier,W1,5,981.0,81
77,W1,R1,2,568.0,79
78,W2,R3,4,971.0,82
79,Supplier,W1,5,814.0,84
79,W1,R2,3,493.0,82
80,Supplier,W2,6,1034.0,86
81,W1,R1,2,709.0,83
82,W2,R3,4,983.0,86
83,Supplier,W1,5,1004.0,88
84,Supplier,W2,6,893.0,90
84,W1,R1,2,458.0,86
85,W1,R2,3,517.0,88
86,Supplier,W1,5,808.0,91
86,W2,R3,4,1169.0,90
87,Supplier,W2,6,968.0,93
88,W1,R1,2,670.0,90
