t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
0,W1,1736.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,34.72,0.0,0.0,0.0,34.72
0,W2,1849.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,36.980000000000004,0.0,0.0,0.0,36.980000000000004
0,R1,433.0,0.0,0.0,0.0,155.0,0.0,EOD,155,155.0,12.99,0.0,0.0,0.0,12.99
0,R2,394.0,0.0,0.0,0.0,87.0,0.0,EOD,87,87.0,11.82,0.0,0.0,0.0,11.82
0,R3,1083.0,0.0,0.0,0.0,274.0,0.0,EOD,274,274.0,32.49,0.0,0.0,0.0,32.49
1,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1,1736.0,0.0,242.0,0.0,242.0,0.0,EOD,0,0.0,34.72,0.0,17.42,0.0,52.14
1,W2,1849.0,0.0,274.0,0.0,274.0,0.0,EOD,0,0.0,36.980000000000004,0.0,17.740000000000002,0.0,54.720000000000006
1,R1,312.0,0.0,0.0,0.0,121.0,0.0,EOD,121,121.0,9.36,0.0,0.0,0.0,9.36
1,R2,304.0,0.0,0.0,0.0,90.0,0.0,EOD,90,90.0,9.12,0.0,0.0,0.0,9.12
1,R3,815.0,0.0,0.0,0.0,268.0,0.0,EOD,268,268.0,24.45,0.0,0.0,0.0,24.45
2,Supplier,0.0,0.0,516.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
2,W1,1736.0,0.0,453.0,0.0,211.0,0.0,EOD,0,0.0,34.72,0.0,17.11,0.0,51.83
2,W2,1307.0,0.0,0.0,0.0,268.0,0.0,EOD,0,0.0,26.14,0.0,17.68,350.0,393.82
2,R1,213.0,0.0,0.0,0.0,99.0,0.0,EOD,99,99.0,6.39,0.0,0.0,0.0,6.39
2,R2,228.0,0.0,0.0,0.0,76.0,0.0,EOD,76,76.0,6.84,0.0,0.0,0.0,6.84
2,R3,662.0,0.0,0.0,542.0,153.0,0.0,EOD,153,153.0,19.86,0.0,0.0,0.0,19.86
3,Supplier,0.0,0.0,995.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
3,W1,1736.0,0.0,628.0,0.0,175.0,0.0,EOD,0,0.0,34.72,0.0,16.75,0.0,51.47
3,W2,1307.0,0.0,153.0,0.0,153.0,0.0,EOD,0,0.0,26.14,0.0,16.53,0.0,42.67
3,R1,108.0,0.0,0.0,0.0,105.0,0.0,EOD,105,105.0,3.2399999999999998,0.0,0.0,0.0,3.2399999999999998
3,R2,145.0,0.0,0.0,0.0,83.0,0.0,EOD,83,83.0,4.35,0.0,0.0,0.0,4.35
3,R3,474.0,0.0,0.0,542.0,188.0,0.0,EOD,188,188.0,14.219999999999999,0.0,0.0,0.0,14.219999999999999
4,Supplier,0.0,0.0,1323.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
4,W1,1256.0,0.0,336.0,0.0,188.0,0.0,EOD,0,0.0,25.12,0.0,16.88,350.0,392.0
4,W2,1307.0,0.0,341.0,0.0,188.0,0.0,EOD,0,0.0,26.14,0.0,16.88,0.0,43.019999999999996
4,R1,16.0,0.0,0.0,480.0,92.0,0.0,EOD,92,92.0,0.48,0.0,0.0,0.0,0.48
