node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,0.066205,1.0
R1,SKU_B,0.132948,5.269603,39.6365
R1,SKU_C,0.14054,10.314508,73.3921
R1,SKU_D,0.077954,1.110567,14.2464
R1,SKU_E,0.08107,3.128178,38.5862
R2,SKU_A,0.04691,7.11852,151.7475
R2,SKU_B,0.106405,5.326761,50.0611
R2,SKU_C,0.135223,4.319396,31.9427
R2,SKU_D,0.062566,4.108866,65.6729
R2,SKU_E,0.057893,10.039882,173.4223
R3,SKU_A,0.063665,4.137406,64.9871
R3,SKU_B,0.092004,3.211482,34.906
R3,SKU_C,0.146445,9.422102,64.3389
R3,SKU_D,0.068073,4.110724,60.387
R3,SKU_E,0.050516,11.145546,220.632
Supplier,SKU_A,2.011818,,
Supplier,SKU_B,4.189987,,
Supplier,SKU_C,5.14766,,
Supplier,SKU_D,4.392479,,
Supplier,SKU_E,4.24777,,
W1,SKU_A,1.173882,2.022776,1.7232
W1,SKU_B,5.263307,7.046731,1.3388
W1,SKU_C,5.129284,10.32981,2.0139
W1,SKU_D,1.103224,8.311628,7.5339
W1,SKU_E,3.418722,3.908692,1.1433
W2,SKU_A,4.137406,7.048751,1.7037
W2,SKU_B,3.211482,10.410594,3.2417
W2,SKU_C,9.422102,9.728807,1.0326
W2,SKU_D,4.110724,4.110724,1.0
W2,SKU_E,11.145546,11.148857,1.0003
