t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,SKU_A,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,SKU_B,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,W1,SKU_A,1736,0,0,0,0,0,EOD,0,0,34.72,0.0,0.0,0.0,34.72
0,W1,SKU_B,942,0,0,0,0,0,EOD,0,0,14.129999999999999,0.0,0.0,0.0,14.129999999999999
0,W2,SKU_A,1849,0,0,0,0,0,EOD,0,0,36.980000000000004,0.0,0.0,0.0,36.980000000000004
0,W2,SKU_B,639,0,0,0,0,0,EOD,0,0,9.584999999999999,0.0,0.0,0.0,9.584999999999999
0,R1,SKU_A,433,0,0,0,155,0,EOD,155,155,17.32,0.0,0.0,0.0,17.32
0,R1,SKU_B,217,0,0,0,102,0,EOD,102,102,6.51,0.0,0.0,0.0,6.51
0,R2,SKU_A,394,0,0,0,87,0,EOD,87,87,15.76,0.0,0.0,0.0,15.76
0,R2,SKU_B,239,0,0,0,46,0,EOD,46,46,7.17,0.0,0.0,0.0,7.17
0,R3,SKU_A,1083,0,0,0,274,0,EOD,274,274,43.32,0.0,0.0,0.0,43.32
0,R3,SKU_B,383,0,0,0,90,0,EOD,90,90,11.49,0.0,0.0,0.0,11.49
1,Supplier,SKU_A,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
1,Supplier,SKU_B,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
1,W1,SKU_A,1494,0,0,0,242,0,EOD,0,0,29.88,0.0,17.42,70.96298820892294,118.26298820892293
1,W1,SKU_B,794,0,0,0,148,0,EOD,0,0,11.91,0.0,16.48,165.03701179107702,193.427011791077
1,W2,SKU_A,1575,0,0,0,274,0,EOD,0,0,31.5,0.0,17.740000000000002,45.37854889589905,94.61854889589905
1,W2,SKU_B,549,0,0,0,90,0,EOD,0,0,8.235,0.0,15.9,59.621451104100935,83.75645110410093
1,R1,SKU_A,312,0,0,155,121,0,EOD,121,121,12.48,0.0,0.0,0.0,12.48
1,R1,SKU_B,127,0,0,102,90,0,EOD,90,90,3.81,0.0,0.0,0.0,3.81
1,R2,SKU_A,304,0,0,87,90,0,EOD,90,90,12.16,0.0,0.0,0.0,12.16
1,R2,SKU_B,196,0,0,46,43,0,EOD,43,43,5.88,0.0,0.0,0.0,5.88
1,R3,SKU_A,815,0,0,274,268,0,EOD,268,268,32.6,0.0,0.0,0.0,32.6
1,R3,SKU_B,301,0,0,90,82,0,EOD,82,82,9.03,0.0,0.0,0.0,9.03
2,Supplier,SKU_A,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,226.4583588649585,226.4583588649585
2,Supplier,SKU_B,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,389.54164113504146,389.54164113504146
2,W1,SKU_A,1283,0,0,242,211,0,EOD,0,0,25.66,0.0,17.11,71.4137214137214,114.1837214137214
